,Title,Link,Image,Author,Date,time,key takeaways / Agenda,†Free/Paid
27,Webinar: Decision Making for PMs by Atlassian PM,https://www.eventbrite.com/e/webinar-decision-making-for-pms-by-atlassian-pm-tickets-107739688308?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/8142/09/08092309/Atlassian-square-2.png,Vidhu Sharma,"Saturday, July 4th, 2020",11:30AM - 12:00PM (PT) ,,Free
28,Webinar: Delivering Product for Different Cultures by Alibaba Lead PM,https://www.eventbrite.com/e/webinar-delivering-product-for-different-cultures-by-alibaba-lead-pm-tickets-106091959908?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/04/23105824/alibaba.png,Idan Fargeon,"Sunday, July 5th, 2020",11:30AM - 12:00PM (PT) ,,Free
29,Webinar: 8 Difficulties When Entering Chinese Market by Airbnb fmr PM,https://www.eventbrite.com/e/webinar-8-difficulties-when-entering-chinese-market-by-airbnb-fmr-pm-tickets-107743387372?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11133513/AirBnB-square.png,Julian Leung,"Monday, July 6th, 2020",11:30AM - 12:00PM (PT) ,,Free
30,Webinar: How to Become Better at Prioritization by fmr Dropbox PM,https://www.eventbrite.com/e/webinar-how-to-become-better-at-prioritization-by-fmr-dropbox-pm-tickets-107753022190?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/09122045/Dropbox-square-2.jpg,Ketan Nayak,"Monday, July 6th, 2020",2:00PM - 2:30PM (PT) ,,Free
31,Product Management Live Chat by Target Director of PM,https://www.eventbrite.com/e/product-management-live-chat-by-target-director-of-pm-tickets-104427894644?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11140229/Target-square.png,Sada Kshirsagar,"Tuesday, July 7th, 2020",10:30AM - 11:00AM (PT) ,,Free
32,Webinar: How to Work With a Finance Team? by DAZN Sr PM,https://www.eventbrite.com/e/webinar-how-to-work-with-a-finance-team-by-dazn-sr-pm-tickets-107747818626?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/03/27142648/DAZN.png,Richard Giannetti,"Tuesday, July 7th, 2020",11:30AM - 12:00PM (PT) ,,Free
33,Webinar: Best Practices of Product Interviewing by fmr Lyft Sr PM,https://www.eventbrite.com/e/webinar-best-practices-of-product-interviewing-by-fmr-lyft-sr-pm-tickets-108143056794?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11140206/lyft-square.png,Hadar Dor,"Tuesday, July 7th, 2020",2:00PM - 2:30PM (PT) ,,Free
34,Fireside Chat with Chartio CEO,https://www.eventbrite.com/e/fireside-chat-with-chartio-ceo-tickets-104021834106?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/02/18152355/Chartio.png,Dave Fowler,"Wednesday, July 8th, 2020",11:30AM - 12:00PM (PT) ,,Free
35,Webinar: How to Identify Product Opportunities by LinkedIn PM,https://www.eventbrite.com/e/webinar-how-to-identify-product-opportunities-by-linkedin-pm-tickets-107971489632?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/12/23172919/Linkedin_logo_new.png,Brady Simpson,"Wednesday, July 8th, 2020",2:00PM - 2:30PM (PT) ,,Free
36,Product Management Live Chat by Google PM,https://www.eventbrite.com/e/product-management-live-chat-by-google-pm-tickets-105811611378?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Prashant Nair,"Thursday, July 9th, 2020",10:30AM - 11:00AM (PT) ,,Free
37,Webinar: Driving Machine Learning Roadmaps by Amazon Sr Tech PM,https://www.eventbrite.com/e/webinar-driving-machine-learning-roadmaps-by-amazon-sr-tech-pm-tickets-104663387008?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/27092856/Amazon-Alexa1.png,Prerna Kaul,"Friday, July 10th, 2020",11:30AM - 12:00PM (PT) ,,Free
38,Webinar: Building an eCommerce Catalog by Walmart Group PM,https://www.eventbrite.com/e/webinar-building-an-ecommerce-catalog-by-walmart-sr-pm-tickets-108698801040?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11134244/walmart-square.png,Lara Ganesan,"Friday, July 10th, 2020",2:00PM - 2:30PM (PT) ,,Free
39,Webinar: Leading in Times of Crisis by Instagram PM,https://www.eventbrite.com/e/webinar-leading-in-times-of-crisis-by-instagram-pm-tickets-108482590348?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/07/23102251/instagram-logo.png,Deotima Mukherjee,"Saturday, July 11th, 2020",11:30AM - 12:00PM (PT) ,,Free
40,Webinar: Hacking Your Product Management Interview by Google PM,https://www.eventbrite.com/e/webinar-hacking-your-product-management-interview-by-google-pm-tickets-108870073320?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Jeremy Lewallen,"Sunday, July 12th, 2020",11:30AM - 12:00PM (PT) ,,Free
41,Webinar: Planning for the Future by fmr Square Product Lead,https://www.eventbrite.com/e/webinar-planning-for-the-future-by-square-product-lead-tickets-108441597738?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/11/28154716/square_ogo.jpg,Thorsten Jaeckel,"Monday, July 13th, 2020",11:30AM - 12:00PM (PT) ,,Free
42,Webinar: How to Build Great Products by Dropbox PM,https://www.eventbrite.com/e/webinar-how-to-build-great-products-by-dropbox-pm-tickets-108441599744?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/09122045/Dropbox-square-2.jpg,Tansik Koyuncu,"Monday, July 13th, 2020",2:00PM - 2:30PM (PT) ,,Free
43,Webinar: How Much Should We Commit by WeWork Product Lead,https://www.eventbrite.com/e/webinar-how-much-should-we-commit-by-wework-product-lead-tickets-109362215330?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2016/12/08114808/WeWork-square-14.jpg,Asaf Bord,"Monday, July 13th, 2020",2:00PM - 2:30PM (PT) ,,Free
